City,date,crowd_point,pricePoint,weather_score
Los Angeles,2021-02-11,43.95161290322581,100.0,69.35
Los Angeles,2021-02-12,43.95161290322581,100.0,66.75
Los Angeles,2021-02-13,33.46774193548387,100.0,70.8
Los Angeles,2021-02-14,30.241935483870968,100.0,71.96
Los Angeles,2021-02-15,47.17741935483871,100.0,72.59
Los Angeles,2021-02-16,44.75806451612904,100.0,75.76
Los Angeles,2021-02-17,43.95161290322581,100.0,71.33
Los Angeles,2021-02-18,43.95161290322581,100.0,74.78
Los Angeles,2021-02-19,42.74193548387097,100.0,76.77
Los Angeles,2021-02-20,32.66129032258065,100.0,77.63
Los Angeles,2021-02-21,30.645161290322584,100.0,76.77
Los Angeles,2021-02-22,42.33870967741936,100.0,91.11
Los Angeles,2021-02-23,43.14516129032258,100.0,98.44
Los Angeles,2021-02-24,42.33870967741936,100.0,92.36
Los Angeles,2021-02-25,42.33870967741936,100.0,84.17
Los Angeles,2021-02-26,41.12903225806452,100.0,83.76
Los Angeles,2021-02-27,31.048387096774192,100.0,81.17
Los Angeles,2021-02-28,29.032258064516128,100.0,84.31
Los Angeles,2021-03-01,40.32258064516129,90.58,82.89
Los Angeles,2021-03-02,41.12903225806452,90.58,81.8
Los Angeles,2021-03-03,44.75806451612904,90.58,46.19
Los Angeles,2021-03-04,40.32258064516129,90.58,63.19
Los Angeles,2021-03-05,40.32258064516129,90.58,80.03
Los Angeles,2021-03-06,29.83870967741936,90.58,85.48
Los Angeles,2021-03-07,30.241935483870968,90.58,72.53
Los Angeles,2021-03-08,40.7258064516129,90.58,73.24
Los Angeles,2021-03-09,41.53225806451613,90.58,68.75
Los Angeles,2021-03-10,45.96774193548388,90.58,10.96
Los Angeles,2021-03-11,43.14516129032258,90.58,0.76
Los Angeles,2021-03-12,41.53225806451613,90.58,15.87
Los Angeles,2021-03-13,28.62903225806452,90.58,50.41
Los Angeles,2021-03-14,29.435483870967744,90.58,63.12
Los Angeles,2021-03-15,43.95161290322581,90.58,33.69
Los Angeles,2021-03-16,39.11290322580645,90.58,47.08
Los Angeles,2021-03-17,37.09677419354839,90.58,56.37
Los Angeles,2021-03-18,37.50000000000001,90.58,67.49
Los Angeles,2021-03-19,37.09677419354839,90.58,77.97
Los Angeles,2021-03-20,26.61290322580645,90.58,74.91
Los Angeles,2021-03-21,24.59677419354839,90.58,73.18
Los Angeles,2021-03-22,37.50000000000001,90.58,76.98
Los Angeles,2021-03-23,38.70967741935485,90.58,76.86
Los Angeles,2021-03-24,38.30645161290323,90.58,84.88
Los Angeles,2021-03-25,39.11290322580645,90.58,72.37
Los Angeles,2021-03-26,37.50000000000001,90.58,70.37
Los Angeles,2021-03-27,27.016129032258068,90.58,84.03
Los Angeles,2021-03-28,25.40322580645161,90.58,95.11
Los Angeles,2021-03-29,37.903225806451616,90.58,90.17
Los Angeles,2021-03-30,37.50000000000001,90.58,99.93
Los Angeles,2021-03-31,36.693548387096776,90.58,93.27
Los Angeles,2021-04-01,35.88709677419355,74.68,76.78
Los Angeles,2021-04-02,37.50000000000001,74.68,85.16
Los Angeles,2021-04-03,27.016129032258068,74.68,97.29
Los Angeles,2021-04-04,33.06451612903226,74.68,99.52
Los Angeles,2021-04-05,36.693548387096776,74.68,99.67
Los Angeles,2021-04-06,37.09677419354839,74.68,91.8
Los Angeles,2021-04-07,36.693548387096776,74.68,98.47
Los Angeles,2021-04-08,35.88709677419355,74.68,94.78
Los Angeles,2021-04-09,36.29032258064517,74.68,95.85
Los Angeles,2021-04-10,25.806451612903228,74.68,91.78
Los Angeles,2021-04-11,24.59677419354839,74.68,100.0
Los Angeles,2021-04-12,36.693548387096776,74.68,92.28
Los Angeles,2021-04-13,37.903225806451616,74.68,77.01
Los Angeles,2021-04-14,37.09677419354839,74.68,66.42
Los Angeles,2021-04-15,36.29032258064517,74.68,74.02
Los Angeles,2021-04-16,35.88709677419355,74.68,83.64
Los Angeles,2021-04-17,25.806451612903228,74.68,87.65
Los Angeles,2021-04-18,23.38709677419355,74.68,89.55
Los Angeles,2021-04-19,35.483870967741936,74.68,77.38
Los Angeles,2021-04-20,35.483870967741936,74.68,94.78
Los Angeles,2021-04-21,37.09677419354839,74.68,76.16
Los Angeles,2021-04-22,36.693548387096776,74.68,76.45
Los Angeles,2021-04-23,35.483870967741936,74.68,75.54
Los Angeles,2021-04-24,25.40322580645161,74.68,81.21
Los Angeles,2021-04-25,23.38709677419355,74.68,79.38
Los Angeles,2021-04-26,35.483870967741936,74.68,75.44
Los Angeles,2021-04-27,35.88709677419355,74.68,59.67
Los Angeles,2021-04-28,35.08064516129033,74.68,95.28
Los Angeles,2021-04-29,34.67741935483871,74.68,78.81
Los Angeles,2021-04-30,33.87096774193549,74.68,65.89
Los Angeles,2021-05-01,23.38709677419355,59.53,82.92
Los Angeles,2021-05-02,21.774193548387096,59.53,92.97
Los Angeles,2021-05-03,33.06451612903226,59.53,97.64
Los Angeles,2021-05-04,33.87096774193549,59.53,85.6
Los Angeles,2021-05-05,33.46774193548387,59.53,80.56
Los Angeles,2021-05-06,33.46774193548387,59.53,89.71
Los Angeles,2021-05-07,32.66129032258065,59.53,94.47
Los Angeles,2021-05-08,22.580645161290324,59.53,96.14
Los Angeles,2021-05-09,20.56451612903226,59.53,98.68
Los Angeles,2021-05-10,33.46774193548387,59.53,94.17
Los Angeles,2021-05-11,34.67741935483871,59.53,99.09
Los Angeles,2021-05-12,33.87096774193549,59.53,92.74
Los Angeles,2021-05-13,33.46774193548387,59.53,94.68
Los Angeles,2021-05-14,32.66129032258065,59.53,98.6
Los Angeles,2021-05-15,23.38709677419355,59.53,91.26
Los Angeles,2021-05-16,22.580645161290324,59.53,81.12
Los Angeles,2021-05-17,32.66129032258065,59.53,86.73
